Time,Insert Time,Communication Status,Power Factor,Energy ( kilowatt hour ),Voltage Phase R B ( volt )
7-Jan-2021 5:40:30 PM,7-Jan-2021 5:39:33 PM,Normal,1,402015.09,400
7-Jan-2021 5:44:31 PM,7-Jan-2021 5:43:36 PM,Normal,1,402015.41,400
7-Jan-2021 5:48:31 PM,7-Jan-2021 5:47:33 PM,Normal,1,402015.69,399
7-Jan-2021 5:50:22 PM,7-Jan-2021 5:49:29 PM,Normal,1,402016,399
7-Jan-2021 5:58:25 PM,7-Jan-2021 5:57:31 PM,Normal,1,402016.31,398
7-Jan-2021 6:00:26 PM,7-Jan-2021 5:59:33 PM,Normal,1,402016.59,399
7-Jan-2021 6:02:27 PM,7-Jan-2021 6:01:33 PM,Normal,1,402016.91,399
7-Jan-2021 6:04:28 PM,7-Jan-2021 6:03:35 PM,Normal,1,402017.19,398
7-Jan-2021 6:06:28 PM,7-Jan-2021 6:05:34 PM,Normal,1,402017.5,399
7-Jan-2021 6:12:30 PM,7-Jan-2021 6:11:33 PM,Normal,1,402017.81,399
7-Jan-2021 6:14:30 PM,7-Jan-2021 6:13:33 PM,Normal,1,402018.19,398
7-Jan-2021 6:16:31 PM,7-Jan-2021 6:15:34 PM,Normal,1,402018.5,398
7-Jan-2021 6:18:31 PM,7-Jan-2021 6:17:34 PM,Normal,1,402018.81,399
7-Jan-2021 6:30:23 PM,7-Jan-2021 6:29:27 PM,Normal,1,402019.09,399
7-Jan-2021 6:32:24 PM,7-Jan-2021 6:31:28 PM,Normal,1,402019.5,399
7-Jan-2021 6:36:25 PM,7-Jan-2021 6:35:31 PM,Normal,1,402020.31,399
7-Jan-2021 6:38:28 PM,7-Jan-2021 6:37:34 PM,Normal,1,402021.09,399
7-Jan-2021 6:40:28 PM,7-Jan-2021 6:39:30 PM,Normal,1,402022,399
7-Jan-2021 6:42:28 PM,7-Jan-2021 6:41:31 PM,Normal,1,402022.81,399
7-Jan-2021 6:44:29 PM,7-Jan-2021 6:43:32 PM,Normal,1,402023.59,400
7-Jan-2021 6:50:30 PM,7-Jan-2021 6:49:31 PM,Normal,1,402024.41,400
7-Jan-2021 6:52:30 PM,7-Jan-2021 6:51:35 PM,Normal,1,402025.31,401
7-Jan-2021 6:54:31 PM,7-Jan-2021 6:53:33 PM,Normal,1,402026.09,400
7-Jan-2021 6:56:31 PM,7-Jan-2021 6:55:35 PM,Normal,1,402026.91,401
7-Jan-2021 7:00:32 PM,7-Jan-2021 6:59:37 PM,Normal,1,402027.81,401
7-Jan-2021 7:02:23 PM,7-Jan-2021 7:01:28 PM,Normal,1,402028.59,401
7-Jan-2021 7:16:28 PM,7-Jan-2021 7:15:37 PM,Normal,1,402029.5,400
7-Jan-2021 7:20:28 PM,7-Jan-2021 7:19:34 PM,Normal,1,402030.31,401
7-Jan-2021 7:22:29 PM,7-Jan-2021 7:21:30 PM,Normal,1,402031.09,400
7-Jan-2021 7:32:33 PM,7-Jan-2021 7:31:34 PM,Normal,1,402032,400
7-Jan-2021 7:34:23 PM,7-Jan-2021 7:33:28 PM,Normal,1,402032.81,401
7-Jan-2021 7:36:23 PM,7-Jan-2021 7:35:24 PM,Normal,1,402033.59,401
7-Jan-2021 7:38:24 PM,7-Jan-2021 7:37:30 PM,Normal,1,402034.5,400
7-Jan-2021 7:40:25 PM,7-Jan-2021 7:39:31 PM,Normal,1,402035.31,401
7-Jan-2021 7:46:28 PM,7-Jan-2021 7:45:30 PM,Normal,1,402036.09,401
7-Jan-2021 7:48:30 PM,7-Jan-2021 7:47:32 PM,Normal,1,402037,401
7-Jan-2021 7:50:30 PM,7-Jan-2021 7:49:31 PM,Normal,1,402037.81,401
7-Jan-2021 7:52:31 PM,7-Jan-2021 7:51:34 PM,Normal,1,402038.59,401
7-Jan-2021 7:54:31 PM,7-Jan-2021 7:53:33 PM,Normal,1,402039.41,401
7-Jan-2021 7:56:31 PM,7-Jan-2021 7:55:35 PM,Normal,1,402040.19,401
7-Jan-2021 7:58:32 PM,7-Jan-2021 7:57:34 PM,Normal,1,402040.81,402
7-Jan-2021 8:00:32 PM,7-Jan-2021 7:59:36 PM,Normal,1,402041.09,401
7-Jan-2021 8:02:33 PM,7-Jan-2021 8:01:36 PM,Normal,1,402041.41,402
7-Jan-2021 8:04:23 PM,7-Jan-2021 8:03:26 PM,Normal,1,402041.69,401
7-Jan-2021 8:06:24 PM,7-Jan-2021 8:05:27 PM,Normal,1,402042,402
7-Jan-2021 8:21:24 PM,7-Jan-2021 8:20:29 PM,Normal,1,402042.31,402
7-Jan-2021 8:24:25 PM,7-Jan-2021 8:23:34 PM,Normal,1,402042.59,402
7-Jan-2021 8:36:31 PM,7-Jan-2021 8:35:35 PM,Normal,1,402042.91,402
7-Jan-2021 8:42:31 PM,7-Jan-2021 8:41:37 PM,Normal,1,402043.09,402
7-Jan-2021 8:44:32 PM,7-Jan-2021 8:43:33 PM,Normal,1,402043.41,402
7-Jan-2021 8:52:25 PM,7-Jan-2021 8:51:28 PM,Normal,1,402043.69,402
7-Jan-2021 8:58:27 PM,7-Jan-2021 8:57:31 PM,Normal,1,402044,402
7-Jan-2021 9:00:28 PM,7-Jan-2021 8:59:31 PM,Normal,1,402044.31,402
7-Jan-2021 9:06:31 PM,7-Jan-2021 9:05:33 PM,Normal,1,402044.59,403
7-Jan-2021 9:10:24 PM,7-Jan-2021 9:09:32 PM,Normal,1,402044.91,403
7-Jan-2021 9:12:25 PM,7-Jan-2021 9:11:34 PM,Normal,1,402045.19,403
7-Jan-2021 9:14:25 PM,7-Jan-2021 9:13:33 PM,Normal,1,402045.5,403
7-Jan-2021 9:16:25 PM,7-Jan-2021 9:15:30 PM,Normal,1,402045.69,403
7-Jan-2021 9:20:27 PM,7-Jan-2021 9:19:36 PM,Normal,1,402046,403
7-Jan-2021 9:24:27 PM,7-Jan-2021 9:23:34 PM,Normal,1,402046.31,403
7-Jan-2021 9:26:28 PM,7-Jan-2021 9:25:30 PM,Normal,1,402046.59,403
7-Jan-2021 9:28:28 PM,7-Jan-2021 9:27:31 PM,Normal,1,402046.91,403
7-Jan-2021 9:34:31 PM,7-Jan-2021 9:33:34 PM,Normal,1,402047.19,403
7-Jan-2021 9:49:31 PM,7-Jan-2021 9:48:38 PM,Normal,1,402047.5,403
7-Jan-2021 9:50:32 PM,7-Jan-2021 9:49:35 PM,Normal,1,402047.81,403
7-Jan-2021 9:52:33 PM,7-Jan-2021 9:51:34 PM,Normal,1,402048.09,403
7-Jan-2021 9:58:25 PM,7-Jan-2021 9:57:32 PM,Normal,1,402048.41,404
7-Jan-2021 10:04:30 PM,7-Jan-2021 10:03:33 PM,Normal,1,402048.69,404
7-Jan-2021 10:06:32 PM,7-Jan-2021 10:05:36 PM,Normal,1,402049,403
7-Jan-2021 10:10:34 PM,7-Jan-2021 10:09:38 PM,Normal,1,402049.31,404
7-Jan-2021 10:18:27 PM,7-Jan-2021 10:17:33 PM,Normal,1,402049.5,402
7-Jan-2021 10:22:30 PM,7-Jan-2021 10:21:36 PM,Normal,1,402049.81,401
7-Jan-2021 10:24:31 PM,7-Jan-2021 10:23:37 PM,Normal,1,402050.09,400
7-Jan-2021 10:28:34 PM,7-Jan-2021 10:27:36 PM,Normal,1,402050.41,401
7-Jan-2021 10:30:26 PM,7-Jan-2021 10:29:31 PM,Normal,1,402050.69,400
7-Jan-2021 10:32:27 PM,7-Jan-2021 10:31:33 PM,Normal,1,402051,401
7-Jan-2021 10:38:31 PM,7-Jan-2021 10:37:34 PM,Normal,1,402051.31,401
7-Jan-2021 10:40:31 PM,7-Jan-2021 10:39:36 PM,Normal,1,402051.59,401
7-Jan-2021 10:54:28 PM,7-Jan-2021 10:53:36 PM,Normal,1,402051.91,402
